year,state,iso3,applications,issued,mev,ltv,not_issued,decisions,not_issued_share,mev_share
2022,Greece,GRC,2609,2085,509,14,441,2540,0.1736220472440945,0.24412470023980815
2022,Hungary,HUN,778,395,128,3,383,781,0.49039692701664533,0.3240506329113924
2022,Italy,ITA,6076,4369,1566,46,1661,6076,0.27337063857801186,0.35843442435339895
2022,Netherlands,NLD,2617,1696,502,79,779,2554,0.30501174628034455,0.2959905660377358
2022,Poland,POL,578,317,49,29,239,585,0.40854700854700854,0.15457413249211358
2022,Spain,ESP,1667,1360,578,67,217,1644,0.13199513381995134,0.425
2022,Sweden,SWE,150,139,10,2,2,143,0.013986013986013986,0.07194244604316546
2023,Croatia,HRV,303,235,63,17,63,315,0.2,0.2680851063829787
2023,Czech Republic,CZE,1294,848,239,46,399,1293,0.308584686774942,0.2818396226415094
2023,France,FRA,17274,10261,2082,94,6669,17024,0.39174107142857145,0.20290420037033427
2023,Germany,DEU,19772,12312,11348,88,6912,19312,0.35791217895608946,0.9217024041585445
2023,Greece,GRC,3568,1743,383,7,1756,3506,0.5008556759840274,0.2197360872059667
2023,Hungary,HUN,970,492,123,5,478,975,0.49025641025641026,0.25
2023,Italy,ITA,9299,6661,2132,82,2556,9299,0.27486826540488224,0.3200720612520643
2023,Netherlands,NLD,2562,1674,395,73,760,2507,0.30315117670522534,0.23596176821983272
2023,Poland,POL,1309,756,121,16,551,1323,0.41647770219198793,0.16005291005291006
2023,Spain,ESP,1759,1528,660,130,45,1703,0.026423957721667644,0.4319371727748691
2023,Sweden,SWE,55,53,9,1,0,54,0.0,0.16981132075471697
2024,Croatia,HRV,405,250,123,5,143,398,0.3592964824120603,0.492
2024,Czech Republic,CZE,1120,818,177,33,269,1120,0.24017857142857144,0.21638141809290953
2024,France,FRA,19617,10978,2101,128,8010,19116,0.4190207156308851,0.19138276553106212
2024,Germany,DEU,19509,12939,11006,26,6069,19034,0.31885047809183564,0.8506066929438133
2024,Greece,GRC,3872,2124,590,1,1643,3768,0.43604033970276007,0.2777777777777778
2024,Hungary,HUN,1070,400,117,1,670,1071,0.6255835667600373,0.2925
2024,Italy,ITA,13331,9607,3560,55,3669,13331,0.2752231640537094,0.37056313105027583
2024,Netherlands,NLD,2972,2083,577,45,785,2913,0.26948163405423964,0.2770043206913106
2024,Poland,POL,1038,669,70,11,368,1048,0.3511450381679389,0.10463378176382661
2024,Romania,ROU,959,633,310,50,267,950,0.2810526315789474,0.48973143759873616
2024,Spain,ESP,2051,1737,614,134,83,1954,0.04247697031729785,0.3534830166954519
2025,Croatia,HRV,405,257,126,18,110,385,0.2857142857142857,0.490272373540856
2025,Czech Republic,CZE,1327,906,216,59,362,1327,0.2727957799547852,0.23841059602649006
2025,France,FRA,20375,12691,2880,93,7731,20515,0.37684621009017794,0.22693247183043103
2025,Germany,DEU,13779,8476,6055,25,4963,13464,0.36861259655377304,0.7143699858423784
2025,Greece,GRC,6699,3726,933,2,2485,6213,0.39996780943183646,0.250402576489533
2025,Hungary,HUN,1373,164,140,3,892,1059,0.842304060434372,0.8536585365853658
2025,Italy,ITA,16896,12670,4304,3,4226,16899,0.2500739688738979,0.33970007892659826
2025,Netherlands,NLD,3177,2047,440,43,1086,3176,0.3419395465994962,0.2149487054225696
2025,Poland,POL,1078,588,55,5,489,1082,0.4519408502772643,0.0935374149659864
2025,Romania,ROU,822,535,222,4,279,818,0.3410757946210269,0.41495327102803736
2025,Spain,ESP,4381,3053,820,63,1069,4185,0.25543608124253286,0.2685882738290206
